product_id,product_category,Height,width,material,color,product_image,product_brand,product_price,product_offer,product_rate,seller_id,product_name,product_description,depth
30180504,Bar furniture,43,74,,,,,225,,,,NORBERG,"        Wall-mounted drop-leaf table,          74x60 cm",60
10122647,Bar furniture,91,40,,,,,345,,,,INGOLF,"        Bar stool with backrest,          63 cm",45
70404875,Bar furniture,95,50,,,,,129,,,,FRANKLIN,"        Bar stool with backrest, foldable,          63 cm",44
50406465,Bar furniture,95,50,,,,,129,,,,FRANKLIN,"        Bar stool with backrest, foldable,          63 cm",44
90404879,Bar furniture,103,52,,,,,149,,,,FRANKLIN,"        Bar stool with backrest, foldable,          74 cm",44
121766,Bar furniture,102,40,,,,,395,,,,INGOLF,"        Bar stool with backrest,          74 cm",45
397736,Bar furniture,103,46,,,,,395,,,,NORRARYD,"        Bar stool with backrest,          74 cm",47
50420329,Bar furniture,104,43,,,,,177,,,,FREKVENS,"        Bar stool with backrest, in/outdoor,          74 cm",53
400550,Bar furniture,114,43,,,,,345,,,,EKEDALEN,"        Bar stool with backrest,          75 cm",52
40426138,Bar furniture,102,40,,,,,395,,,,HENRIKSDAL,"        Bar stool with backrest frame,          74 cm",51
70246089,Bar furniture,84,38,,,,,595,,,,JANINGE,"        Bar stool,          76 cm",36
60406785,Bar furniture,103,52,,,,,149,,,,FRANKLIN,"        Bar stool with backrest, foldable,          74 cm",44
30352246,Bar furniture,63,44,,,,,175,,,,RÅSKOG,"        Bar stool,          63 cm",44
10281354,Bar furniture,84,38,,,,,595,,,,JANINGE,"        Bar stool,          76 cm",36
400545,Bar furniture,114,43,,,,,345,,,,EKEDALEN,"        Bar stool with backrest,          75 cm",51
10400540,Bar furniture,114,43,,,,,345,,,,EKEDALEN,"        Bar stool with backrest,          75 cm",52
90319918,Bar furniture,102,40,,,,,695,,,,HENRIKSDAL,"        Bar stool with backrest,          74 cm",51
39184324,Bar furniture,102,40,,,,,435,,,,HENRIKSDAL,"        Bar stool with backrest,          74 cm",51
20429010,Bar furniture,100,42,,,,,395,,,,NORRÅKER,"        Bar stool with backrest,          74 cm",48
272656,Bar furniture,90,48,,,,,745,,,,BERNHARD,"        Bar stool with backrest,          66 cm",50
30135658,Bar furniture,100,50,,,,,445,,,,GLENN,"        Bar stool,          77 cm",52
30308395,Bar furniture,63,44,,,,,175,,,,RÅSKOG,"        Bar stool,          63 cm",44
49278341,Beds,110,96,,,,,895,,,,BRIMNES,"        Bed frame w storage and headboard,          90x200 cm",54
