,index,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,depth,height,width
0,3,3,80155205,STIG,Bar furniture,69.0,,True,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,"        Bar stool with backrest,          74 cm",50.0,100.0,60.0
1,4,4,30180504,NORBERG,Bar furniture,225.0,,True,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,No,"        Wall-mounted drop-leaf table,          74x60 cm",60.0,43.0,74.0
2,5,5,10122647,INGOLF,Bar furniture,345.0,,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,"        Bar stool with backrest,          63 cm",45.0,91.0,40.0
3,6,6,70404875,FRANKLIN,Bar furniture,129.0,,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,"        Bar stool with backrest, foldable,          63 cm",44.0,95.0,50.0
4,8,8,50406465,FRANKLIN,Bar furniture,129.0,,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,"        Bar stool with backrest, foldable,          63 cm",44.0,95.0,50.0
5,10,10,90404879,FRANKLIN,Bar furniture,149.0,,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,No,"        Bar stool with backrest, foldable,          74 cm",44.0,103.0,52.0
6,11,11,121766,INGOLF,Bar furniture,395.0,,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,No,"        Bar stool with backrest,          74 cm",45.0,102.0,40.0
7,12,12,397736,NORRARYD,Bar furniture,395.0,,True,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"        Bar stool with backrest,          74 cm",47.0,103.0,46.0
8,13,13,50420329,FREKVENS,Bar furniture,177.0,295,True,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,No,"        Bar stool with backrest, in/outdoor,          74 cm",53.0,104.0,43.0
9,14,14,400550,EKEDALEN,Bar furniture,345.0,,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,No,"        Bar stool with backrest,          75 cm",52.0,114.0,43.0
10,16,16,40426138,HENRIKSDAL,Bar furniture,395.0,,True,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-frame-dark-brown-40426138/,No,"        Bar stool with backrest frame,          74 cm",51.0,102.0,40.0
11,18,18,70246089,JANINGE,Bar furniture,595.0,,True,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,No,"        Bar stool,          76 cm",36.0,84.0,38.0
12,19,19,60406785,FRANKLIN,Bar furniture,149.0,,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-60406785/,No,"        Bar stool with backrest, foldable,          74 cm",44.0,103.0,52.0
13,21,21,30352246,RÅSKOG,Bar furniture,175.0,,True,https://www.ikea.com/sa/en/p/raskog-bar-stool-black-30352246/,No,"        Bar stool,          63 cm",44.0,63.0,44.0
14,22,22,10281354,JANINGE,Bar furniture,595.0,,True,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,No,"        Bar stool,          76 cm",36.0,84.0,38.0
15,24,24,400545,EKEDALEN,Bar furniture,345.0,,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,No,"        Bar stool with backrest,          75 cm",51.0,114.0,43.0
